title,price,location,review
Apple iPhone 12 mini 64/128/256 AT&T Sprint T-Mobile Unlocked Verizon Excellent,"IDR6,060,454.55 to IDR7,575,606.06",United States,21 product ratings - Apple iPhone 12 mini 64/128/256 AT&T Sprint T-Mobile Unlocked Verizon Excellent
Apple iPhone XS 64GB/256GB/512GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR3,333,181.82 to IDR4,545,303.03",United States,159 product ratings - Apple iPhone XS 64GB/256GB/512GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone 11 64GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR5,151,363.64 to IDR6,515,000.00",United States,1 product rating - Apple iPhone 11 64GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Excellent Condition,"IDR5,287,878.79",United States,19 product ratings - Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Excellent Condition
Apple iPhone 8 64GB/256GB 4G LTE iOS Smartphone Unlocked,"IDR2,196,818.18",United States,no review
Apple iPhone 8 Plus - 64GB 128GB 256GB - Unlocked Verizon - Very Good Condition,"IDR3,257,424.24",United States,no review
Apple iPhone 11 Pro 64/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR5,908,939.39 to IDR6,515,000.00",United States,10 product ratings - Apple iPhone 11 Pro 64/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR2,878,636.36 to IDR4,196,818.18",United States,76 product ratings - Apple iPhone 8 Plus 64/128/256GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone XR - 64GB 128GB 256GB - Unlocked Verizon - Excellent Condition ,"IDR3,939,242.42",United States,12 product ratings - Apple iPhone XR - 64GB 128GB 256GB - Unlocked Verizon - Excellent Condition 
Apple iPhone XS 64/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Excellent,"IDR4,242,272.73",United States,94 product ratings - Apple iPhone XS 64/256/512GB AT&T Sprint T-Mobile Unlocked Verizon Excellent
"New Apple iPhone 14 Pro 6.1""120Hz Real Dual Sim Apple A16 48MP Phone ByFedEx","IDR21,969,242.42 to IDR36,059,696.97",Hong Kong,no review
Apple iPhone 7 32GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Excellent,"IDR1,893,787.88 to IDR2,045,303.03",United States,44 product ratings - Apple iPhone 7 32GB 128GB 256GB AT&T Sprint T-Mobile Unlocked Verizon Excellent
Apple iPhone SE 2nd Gen - 64GB 128GB 256GB - All Colors - Excellent Condition,"IDR2,712,121.21",United States,113 product ratings - Apple iPhone SE 2nd Gen - 64GB 128GB 256GB - All Colors - Excellent Condition
Original Unlocked Apple iPhone 4S -8/16/32/64GB Black  iOS 9 3G WIFI Smartphone ,"IDR742,424.24 to IDR1,030,303.03",China,2 product ratings - Original Unlocked Apple iPhone 4S -8/16/32/64GB Black  iOS 9 3G WIFI Smartphone 
Apple iPhone 11 Pro Max 64/256/512 ATT Sprint TMobile Unlocked Verizon Excellent,"IDR8,939,242.42 to IDR10,151,363.64",United States,1 product rating - Apple iPhone 11 Pro Max 64/256/512 ATT Sprint TMobile Unlocked Verizon Excellent
Apple iPhone 6S 16/32/64/128GB AT&T Sprint T-Mobile Unlocked Verizon Very Good,"IDR1,136,212.12 to IDR1,287,727.27",United States,1 product rating - Apple iPhone 6S 16/32/64/128GB AT&T Sprint T-Mobile Unlocked Verizon Very Good
Apple iPhone SE 1st Gen 16GB 32GB 64GB 128GB Smartphone Unlocked - Very Good,"IDR1,166,515.15 to IDR1,469,545.45",United States,23 product ratings - Apple iPhone SE 1st Gen 16GB 32GB 64GB 128GB Smartphone Unlocked - Very Good
Apple iPhone 7 Plus - 32GB 128GB 256GB - All Colors - Very Good Condition,"IDR2,121,212.12 to IDR22,727,272.73",United States,203 product ratings - Apple iPhone 7 Plus - 32GB 128GB 256GB - All Colors - Very Good Condition
Apple iPhone 13 128GB 256GB 512GB AT&T Sprint TMobile Unlocked Verizon Very Good,"IDR10,454,393.94 to IDR11,666,515.15",United States,no review
